,vacancy,name_vac,id_empl,skill
96,35554076,Специалист-аналитик,41512,Аналитик
97,35556776,Ведущий web-разработчик,46769,"Программирование, Разработка"
98,35556776,Ведущий web-разработчик,46769,Web инженер
99,35556776,Ведущий web-разработчик,46769,Интернет
100,35556776,Ведущий web-разработчик,46769,Web мастер
101,35556776,Ведущий web-разработчик,46769,Стартапы
102,35563924,Инженер-технолог,1975452,Авиационная промышленность
103,35563924,Инженер-технолог,1975452,Машиностроение
104,35563924,Инженер-технолог,1975452,"Начальный уровень, Мало опыта"
105,35563924,Инженер-технолог,1975452,Инженер
106,35563924,Инженер-технолог,1975452,Конструктор
107,35563924,Инженер-технолог,1975452,Металлургия
108,35649215,Специалист технической поддержки,3588767,Информационные технологии
109,35649215,Специалист технической поддержки,3588767,"Поддержка, Helpdesk"
110,35649215,Специалист технической поддержки,3588767,Тестирование
111,35649215,Специалист технической поддержки,3588767,CRM системы
112,35649215,Специалист технической поддержки,3588767,Интернет
113,35649379,Специалист технической поддержки,3588767,Информационные технологии
114,35649379,Специалист технической поддержки,3588767,"Поддержка, Helpdesk"
115,35649379,Специалист технической поддержки,3588767,Тестирование
116,35649379,Специалист технической поддержки,3588767,CRM системы
117,35649379,Специалист технической поддержки,3588767,Интернет
118,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,Продажа
119,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,"Автомобили, Запчасти"
120,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,"Начальный уровень, Мало опыта"
121,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,Автоперевозки
122,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,Агент
123,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,Жилье
124,35738492,Специалист по курированию оптовых клиентов,41512,Управление маркетингом
125,35738492,Специалист по курированию оптовых клиентов,41512,"PR, Маркетинговые коммуникации"
126,35738492,Специалист по курированию оптовых клиентов,41512,Управление проектами
127,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Разнорабочий
128,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Другое
129,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,"Электромонтер, Кабельщик"
130,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Сварщик
131,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Строительство
132,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Рабочие строительных специальностей
