,vacancy,spec_name_vac,id_empl,skill
94,34139075,Инженер-проектировщик,47084,Авиационная промышленность
95,34139075,Инженер-проектировщик,47084,Инженер
96,34139075,Инженер-проектировщик,47084,Радиоэлектронная промышленность
97,34139075,Инженер-проектировщик,47084,Электроэнергетика
98,34139075,Инженер-проектировщик,47084,Инженер
99,34139075,Инженер-проектировщик,47084,"Проектирование, Архитектура"
100,34319612,Начинающий специалист в сфере недвижимости,3233859,Продажа
101,34319612,Начинающий специалист в сфере недвижимости,3233859,Автострахование
102,34319612,Начинающий специалист в сфере недвижимости,3233859,"Начальный уровень, Мало опыта"
103,34319612,Начинающий специалист в сфере недвижимости,3233859,Недвижимость
104,34319612,Начинающий специалист в сфере недвижимости,3233859,"Автомобили, Запчасти"
105,34319612,Начинающий специалист в сфере недвижимости,3233859,Секретарь
106,34496918,Специалист Отдела медицинского обслуживания (Медицинский контакт-центр),955,Младший и средний медперсонал
107,34496918,Специалист Отдела медицинского обслуживания (Медицинский контакт-центр),955,Регистратура
108,34496918,Специалист Отдела медицинского обслуживания (Медицинский контакт-центр),955,Фармацевт
109,34496918,Специалист Отдела медицинского обслуживания (Медицинский контакт-центр),955,Ввод данных
110,34496918,Специалист Отдела медицинского обслуживания (Медицинский контакт-центр),955,Сотрудник call-центра
111,34496918,Специалист Отдела медицинского обслуживания (Медицинский контакт-центр),955,Медицинское страхование
112,34551134,Менеджер оптовых продаж (сегмент B2B),42918,Товары для бизнеса
113,34551134,Менеджер оптовых продаж (сегмент B2B),42918,"FMCG, Товары народного потребления"
114,34551134,Менеджер оптовых продаж (сегмент B2B),42918,Строительные материалы
115,34551134,Менеджер оптовых продаж (сегмент B2B),42918,Прямые продажи
116,34551134,Менеджер оптовых продаж (сегмент B2B),42918,Оптовая торговля
117,34551134,Менеджер оптовых продаж (сегмент B2B),42918,Менеджер по работе с клиентами
118,34827080,Frontend-разработчик Vue.js,665470,"Программирование, Разработка"
119,34827080,Frontend-разработчик Vue.js,665470,Инженер
120,34827080,Frontend-разработчик Vue.js,665470,Электронная коммерция
121,34827080,Frontend-разработчик Vue.js,665470,Web инженер
122,34827080,Frontend-разработчик Vue.js,665470,Web мастер
123,34868254,Региональный менеджер,151270,Дилерские сети
124,34868254,Региональный менеджер,151270,Строительные материалы
125,34868254,Региональный менеджер,151270,Прямые продажи
126,34868254,Региональный менеджер,151270,Оптовая торговля
127,35151531,Помощник аналитика,41512,"Начальный уровень, Мало опыта"
128,35151531,Помощник аналитика,41512,Аналитик
129,35194421,Менеджер по сопровождению клиентов банка,109969,Административный персонал
130,35194421,Менеджер по сопровождению клиентов банка,109969,Продажи
131,35194421,Менеджер по сопровождению клиентов банка,109969,Консультирование
132,35194421,Менеджер по сопровождению клиентов банка,109969,Менеджер по работе с клиентами
133,35194421,Менеджер по сопровождению клиентов банка,109969,"Продажи по телефону, Телемаркетинг"
134,35194421,Менеджер по сопровождению клиентов банка,109969,Сотрудник call-центра
135,35207394,Программист 1С,7500,"Программирование, Разработка"
136,35207394,Программист 1С,7500,Сетевые технологии
137,35207394,Программист 1С,7500,Системный администратор
138,35207394,Программист 1С,7500,"Поддержка, Helpdesk"
139,35223727,Менеджер по работе с клиентами (с обучением),5123074,Управление продажами
140,35223727,Менеджер по работе с клиентами (с обучением),5123074,Менеджер по работе с клиентами
141,35223727,Менеджер по работе с клиентами (с обучением),5123074,"Начальный уровень, Мало опыта"
142,35223727,Менеджер по работе с клиентами (с обучением),5123074,Жилье
143,35243986,Менеджер проектов/Project Manager,2915783,Игровое ПО
144,35243986,Менеджер проектов/Project Manager,2915783,"Программирование, Разработка"
145,35243986,Менеджер проектов/Project Manager,2915783,Развитие бизнеса
146,35243986,Менеджер проектов/Project Manager,2915783,Управление проектами
147,35243986,Менеджер проектов/Project Manager,2915783,Другое
148,35243986,Менеджер проектов/Project Manager,2915783,Стартапы
149,35366711,Менеджер по оптовым продажам,1564778,Дилерские сети
150,35366711,Менеджер по оптовым продажам,1564778,Оптовая торговля
151,35502432,Инженер по информационной безопасности,3095,Компьютерная безопасность
152,35502432,Инженер по информационной безопасности,3095,Инженер
153,35502432,Инженер по информационной безопасности,3095,"Поддержка, Helpdesk"
154,35502432,Инженер по информационной безопасности,3095,Экономическая и информационная безопасность
155,35553679,Менеджер по активным продажам,890736,Услуги для бизнеса
156,35553679,Менеджер по активным продажам,890736,Системы безопасности
157,35553679,Менеджер по активным продажам,890736,Торговый представитель
158,35554076,Специалист-аналитик,41512,Аналитик
159,35556776,Ведущий web-разработчик,46769,"Программирование, Разработка"
160,35556776,Ведущий web-разработчик,46769,Web инженер
161,35556776,Ведущий web-разработчик,46769,Интернет
162,35556776,Ведущий web-разработчик,46769,Web мастер
163,35556776,Ведущий web-разработчик,46769,Стартапы
164,35563924,Инженер-технолог,1975452,Авиационная промышленность
165,35563924,Инженер-технолог,1975452,Машиностроение
166,35563924,Инженер-технолог,1975452,"Начальный уровень, Мало опыта"
167,35563924,Инженер-технолог,1975452,Инженер
168,35563924,Инженер-технолог,1975452,Конструктор
169,35563924,Инженер-технолог,1975452,Металлургия
170,35649215,Специалист технической поддержки,3588767,Информационные технологии
171,35649215,Специалист технической поддержки,3588767,"Поддержка, Helpdesk"
172,35649215,Специалист технической поддержки,3588767,Тестирование
173,35649215,Специалист технической поддержки,3588767,CRM системы
174,35649215,Специалист технической поддержки,3588767,Интернет
175,35649379,Специалист технической поддержки,3588767,Информационные технологии
176,35649379,Специалист технической поддержки,3588767,"Поддержка, Helpdesk"
177,35649379,Специалист технической поддержки,3588767,Тестирование
178,35649379,Специалист технической поддержки,3588767,CRM системы
179,35649379,Специалист технической поддержки,3588767,Интернет
180,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,Продажа
181,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,"Автомобили, Запчасти"
182,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,"Начальный уровень, Мало опыта"
183,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,Автоперевозки
184,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,Агент
185,35659919,Помощник в отдел жилой недвижимости(начинающий специалист),3233859,Жилье
186,35738492,Специалист по курированию оптовых клиентов,41512,Управление маркетингом
187,35738492,Специалист по курированию оптовых клиентов,41512,"PR, Маркетинговые коммуникации"
188,35738492,Специалист по курированию оптовых клиентов,41512,Управление проектами
189,35784515,Менеджер по работе с клиентами,100424,Услуги для бизнеса
190,35784515,Менеджер по работе с клиентами,100424,Решения по автоматизации процессов
191,35784515,Менеджер по работе с клиентами,100424,Продажи
192,35867999,Менеджер оптовых продаж (сегмент B2B),42918,Товары для бизнеса
193,35867999,Менеджер оптовых продаж (сегмент B2B),42918,"FMCG, Товары народного потребления"
194,35867999,Менеджер оптовых продаж (сегмент B2B),42918,Строительные материалы
195,35867999,Менеджер оптовых продаж (сегмент B2B),42918,Прямые продажи
