,id,name,name_vac
159,2831913,Дальневосточный проектный институт Востокпроектверфь,Специалист
160,236213,ТД БОНТАЙР,Специалист
161,87322,Регистратор доменных имен РЕГ.РУ,Специалист
162,1965608,ГБУЗ СО ТГКБ №1,Специалист
163,1552384,Рокет Пицца,Специалист
164,5012451,ФГБУ САС САМАРСКАЯ,Специалист
165,1740,Яндекс,Специалист
166,1740,Яндекс,Специалист
167,370,АльфаСтрахование,Специалист
168,3116154,СМАРТС,Специалист
169,6769,"EPAM Systems, Inc.",Специалист
170,727029,Pravo.Tech,Специалист
171,5599,Лаборатория Гемотест,Специалист
172,1201368,Икано Банк,Специалист
173,4925,Kelly Services,Специалист
174,946105,НВ-Поволжье,Специалист
175,952855,Milimon,Специалист
176,1417,Армтек,Специалист
177,923507,Linde,Специалист
178,1588230,Охрапро,Специалист
179,35909,"ВОЛГАТРАНССТРОЙ, Группа компаний",Специалист
180,None,None,Специалист
181,6041,"Северсталь, Москва",Специалист
182,158720,Hoff,Специалист
183,5331300,СЗР-РЕГИОНТРАНС,Специалист
184,90860,"КРИСТА, НПО",Специалист
185,1947314,ANCOR,Специалист
186,144335,Группа компаний OPEN,Специалист
187,1414818,PROFI CREDIT,Специалист
188,2476133,ЭКСПРЕСС,Специалист
189,1024633,"РЕАВИЗ, Медицинский университет",Специалист
190,29471,ПАРКНЕФТЬ,Специалист
191,4925,Kelly Services,Специалист
192,4352,Почта России,Специалист
193,1480247,Премиум,Специалист
194,1480247,Премиум,Специалист
195,2419,R-Style Softlab (Эр-Стайл Софтлаб),Специалист
196,197340,Альфакон,Специалист
197,1144176,Особая Экономическая Зона Промышленно-Производственного типа Тольятти,Специалист
198,3529,Сбербанк,Специалист
199,64545,Завод им. А.М.Тарасова,Специалист
200,247162,Модерн Стайл,Специалист
201,5195471,Абразивные системы-техобслуживание,Специалист
202,3961061,КонсалтикаПлюс,Специалист
203,1414818,PROFI CREDIT,Специалист
204,164880,"Мир охоты, сеть магазинов",Специалист
205,5324089,Белова Елена Валериевна,Специалист
206,3565331,S8 Capital,Специалист
207,5326917,СБС,Специалист
208,127256,Университет СИНЕРГИЯ,Специалист
209,78638,Тинькофф,Специалист
210,41512,ФАРМПЕРСПЕКТИВА,Специалист
211,78638,Тинькофф,Специалист
212,2806361,УК ДСК-групп,Специалист
213,3160387,ЭЛЕКТРОЩИТ САМАРА,Специалист
214,981,Калашников,Специалист
215,59,"РОЛЬФ, группа компаний",Специалист
216,2460946,Самокат (ООО Умный ритейл),Специалист
217,3529,Сбербанк,Специалист
218,2014241,ГБУЗ СО ССП №5,Специалист
219,1063814,КОРПОРАЦИЯ ТОЛЬЯТТИАЗОТ,Специалист
220,44272,ЭР-Телеком,Специалист
221,3437792,ГЕММА,Специалист
222,3153215,Казанцева Дарья Сергеевна,Специалист
223,7588,Сетелем Банк,Специалист
224,727029,Pravo.Tech,Специалист
225,2354633,Контакт центр Сallcontact,Специалист
226,1891752,ХК Международная Логистическая Группа,Специалист
227,1060266,Техносерв Консалтинг,Специалист
228,156424,GDC (ICL Services),Специалист
229,3031246,Нефтебазстрой,Специалист
230,955,СОГАЗ,Специалист
231,49594,Входные двери Феррони,Специалист
232,1740,Яндекс,Специалист
233,4309,Ингосстрах,Специалист
234,1947314,ANCOR,Специалист
235,3025628,Тольяттинефтепродукт Сервис,Специалист
236,44272,ЭР-Телеком,Специалист
237,1222792,Завод Продмаш,Специалист
238,855219,Центр онлайн-обучения Нетология-групп,Специалист
239,44272,ЭР-Телеком,Специалист
240,1940802,Олкон,Специалист
241,3036388,УК ГОСТ,Специалист
242,1863523,Зооветснаб,Специалист
243,551368,Лаборатория качества,Специалист
244,2732588,Kidwill,Специалист
245,1839555,Вымпельная доставка,Специалист
246,44272,ЭР-Телеком,Специалист
247,1463504,ЛЭНД недвижимость,Специалист
248,130150,Моё дело,Специалист
249,468,"Согласие, страховая компания",Специалист
250,44272,ЭР-Телеком,Специалист
251,57045,Мегаполис,Специалист
252,1049556,Почта Банк,Специалист
253,668019,"СимбирСофт,ООО",Специалист
254,1689259,JCat.ru,Специалист
255,4352,Почта России,Специалист
256,4163566,Интернет Технологии-Абф63,Специалист
257,3529,Сбербанк,Специалист
258,208189,AKRON HOLDING,Специалист
259,4277012,БВТ,Специалист
260,4925,Kelly Services,Специалист
261,935653,Сентинел Кредит Менеджмент,Специалист
262,3437792,ГЕММА,Специалист
263,3116154,СМАРТС,Специалист
264,247118,HAYS,Специалист
265,3607,Федеральная Сетевая Компания,Специалист
266,59532,ЭВРИКА-Т,Специалист
267,1063814,КОРПОРАЦИЯ ТОЛЬЯТТИАЗОТ,Специалист
268,1151579,Холдинг «Аэропорты Регионов»,Специалист
269,5111934,Правовая Коллегия Приоритет,Специалист
270,64545,Завод им. А.М.Тарасова,Специалист
271,3607,Федеральная Сетевая Компания,Специалист
272,833155,Finbridge,Специалист
273,208189,AKRON HOLDING,Специалист
274,1005830,Самара-Авто,Специалист
275,130150,Моё дело,Специалист
276,4925,Kelly Services,Специалист
277,3379667,Сервисная компания Пикта,Специалист
278,44272,ЭР-Телеком,Специалист
279,2748,Ростелеком,Специалист
280,4872,ТЕХНОСЕРВ,Специалист
281,5314077,СМ-Логистик,Специалист
282,4304831,Энергоэксперт,Специалист
283,4304831,Энергоэксперт,Специалист
284,111932,Феррит,Специалист
285,468,"Согласие, страховая компания",Специалист
286,1122462,Skyeng,Специалист
287,1109661,ГРУППА КОМПАНИЙ SAMCOM,Специалист
288,4352,Почта России,Специалист
289,5120112,Rabotaika,Специалист
290,816969,Управление ВОЛС-ВЛ (Дочернее Общество ПАО Россети),Специалист
291,1152604,Аврора,Специалист
292,2995713,СИПКРО Самарский областной институт повышения квалификации и переподготовки работников образования,Специалист
293,1689259,JCat.ru,Специалист
294,913667,Транио,Специалист
295,816969,Управление ВОЛС-ВЛ (Дочернее Общество ПАО Россети),Специалист
296,2901322,Первая башенная компания (ПБК),Специалист
297,35983,Арконик Россия,Специалист
298,241845,СамараНИПИнефть,Специалист
299,4023,Райффайзенбанк,Специалист
300,1005830,Самара-Авто,Специалист
301,44272,ЭР-Телеком,Специалист
302,1063814,КОРПОРАЦИЯ ТОЛЬЯТТИАЗОТ,Специалист
303,49357,"МАГНИТ, Розничная сеть",Специалист
304,3517219,РН-Снабжение - Самара,Специалист
305,3668053,Региональный центр трудовых ресурсов,Специалист
306,3529,Сбербанк,Специалист
307,1740,Яндекс,Специалист
308,1740,Яндекс,Специалист
309,1740,Яндекс,Специалист
310,992044,МКК Деньгимигом,Специалист
311,1149,ЛОКО-БАНК,Специалист
312,3177,Первый Бит,Специалист
313,4023,Райффайзенбанк,Специалист
314,1740,Яндекс,Специалист
315,1740,Яндекс,Специалист
316,1740,Яндекс,Специалист
317,3127,МегаФон,Специалист
318,2421,RENAULT,Специалист
319,4540012,Велес Строй,Специалист
320,4347339,Мир Машин,Специалист
321,7944,Совкомбанк,Специалист
322,599,"РОСБАНК, Societe Generale Group (Russia)",Специалист
323,4934,Билайн,Специалист
324,41512,ФАРМПЕРСПЕКТИВА,Специалист
325,33305,СКБ-Банк,Специалист
326,1689259,JCat.ru,Специалист
327,923507,Linde,Специалист
328,1217313,МегаФон Ритейл,Специалист
329,4369697,ГРАН ЛИМИТЕД,Специалист
330,7588,Сетелем Банк,Специалист
331,41512,ФАРМПЕРСПЕКТИВА,Специалист
332,1544,ATH American Express GBT,Специалист
333,41512,ФАРМПЕРСПЕКТИВА,Специалист
334,41512,ФАРМПЕРСПЕКТИВА,Специалист
335,3529,Сбербанк,Специалист
336,41512,ФАРМПЕРСПЕКТИВА,Специалист
337,93090,Самарский Стройфарфор,Специалист
338,1109661,ГРУППА КОМПАНИЙ SAMCOM,Специалист
339,1258542,НПП МАКСТОН-ТОЛЬЯТТИ,Специалист
340,1740,Яндекс,Специалист
341,1740,Яндекс,Специалист
342,1740,Яндекс,Специалист
343,1942336,Перекресток,Специалист
344,2198,Системный оператор Единой энергетической системы,Специалист
345,2476133,ЭКСПРЕСС,Специалист
346,1740,Яндекс,Специалист
347,1740,Яндекс,Специалист
348,1740,Яндекс,Специалист
349,3077756,РН-Учет,Специалист
350,1689259,JCat.ru,Специалист
351,468,"Согласие, страховая компания",Специалист
352,5265489,Киселев Игорь Викторович,Специалист
353,3147971,Р.О.С.ЭНЕРГО,Специалист
354,1056440,Технологические элементы,Специалист
