,vacancy,spec_name_vac,id_empl,skill,date
50,31971767,Риэлтор/менеджер по продажам жилья,3233859,Продажа туристических услуг,19-04-2021
51,31971767,Риэлтор/менеджер по продажам жилья,3233859,"Медицина, Фармацевтика",19-04-2021
52,31971767,Риэлтор/менеджер по продажам жилья,3233859,"Продажи по телефону, Телемаркетинг",19-04-2021
53,31971767,Риэлтор/менеджер по продажам жилья,3233859,Жилье,19-04-2021
54,31971767,Риэлтор/менеджер по продажам жилья,3233859,Логистика,19-04-2021
55,31971767,Риэлтор/менеджер по продажам жилья,3233859,Преподавание,19-04-2021
56,31983924,Брокер по недвижимости/специалист,3233859,Недвижимость,19-04-2021
57,31983924,Брокер по недвижимости/специалист,3233859,"Экономика, Менеджмент",19-04-2021
58,31983924,Брокер по недвижимости/специалист,3233859,Преподавание,19-04-2021
59,31983924,Брокер по недвижимости/специалист,3233859,Менеджер по работе с клиентами,19-04-2021
60,31983924,Брокер по недвижимости/специалист,3233859,Продавец в магазине,19-04-2021
61,31983924,Брокер по недвижимости/специалист,3233859,Жилье,19-04-2021
62,31983930,Специалист по продаже жилой недвижимости/Риэлтор,3233859,Бухгалтер,19-04-2021
63,31983930,Специалист по продаже жилой недвижимости/Риэлтор,3233859,Продажа туристических услуг,19-04-2021
64,31983930,Специалист по продаже жилой недвижимости/Риэлтор,3233859,Менеджер по работе с клиентами,19-04-2021
65,31983930,Специалист по продаже жилой недвижимости/Риэлтор,3233859,Продавец в магазине,19-04-2021
66,31983930,Специалист по продаже жилой недвижимости/Риэлтор,3233859,Секретарь,19-04-2021
67,31983930,Специалист по продаже жилой недвижимости/Риэлтор,3233859,Преподавание,19-04-2021
68,31985633,Менеджер по работе с клиентами (обучение с нуля),3233859,Продажа,19-04-2021
69,31985633,Менеджер по работе с клиентами (обучение с нуля),3233859,Торговый представитель,19-04-2021
70,31985633,Менеджер по работе с клиентами (обучение с нуля),3233859,Менеджер по работе с клиентами,19-04-2021
71,31985633,Менеджер по работе с клиентами (обучение с нуля),3233859,Агент,19-04-2021
72,31985633,Менеджер по работе с клиентами (обучение с нуля),3233859,Агент,19-04-2021
73,31985633,Менеджер по работе с клиентами (обучение с нуля),3233859,Недвижимость,19-04-2021
74,32425734,Менеджер по продажам (B2B),791203,"Электротехническое оборудование, Светотехника",19-04-2021
75,32425734,Менеджер по продажам (B2B),791203,Строительные материалы,19-04-2021
76,32425734,Менеджер по продажам (B2B),791203,Оптовая торговля,19-04-2021
77,32425734,Менеджер по продажам (B2B),791203,Продукты питания,19-04-2021
78,32425734,Менеджер по продажам (B2B),791203,Торговые сети,19-04-2021
79,32425734,Менеджер по продажам (B2B),791203,"Продажи по телефону, Телемаркетинг",19-04-2021
80,32724608,Системный аналитик,665470,Системная интеграция,19-04-2021
81,32724608,Системный аналитик,665470,Системы управления предприятием (ERP),19-04-2021
82,32724608,Системный аналитик,665470,Системы автоматизированного проектирования,19-04-2021
83,32724608,Системный аналитик,665470,Управление проектами,19-04-2021
84,32724608,Системный аналитик,665470,Технический писатель,19-04-2021
85,32724608,Системный аналитик,665470,Аналитик,19-04-2021
86,32925350,Оператор контактного центра,3776,Ввод данных,19-04-2021
87,32925350,Оператор контактного центра,3776,"Начальный уровень, Мало опыта",19-04-2021
88,32925350,Оператор контактного центра,3776,Сотрудник call-центра,19-04-2021
89,32925350,Оператор контактного центра,3776,Административный персонал,19-04-2021
90,32925350,Оператор контактного центра,3776,Продажи,19-04-2021
91,32925350,Оператор контактного центра,3776,Менеджер по работе с клиентами,19-04-2021
92,33199716,Оператор ПК,41512,"Маркетинг, Реклама, PR",19-04-2021
93,33199716,Оператор ПК,41512,"Информационные технологии, Интернет, Мультимедиа",19-04-2021
94,33199716,Оператор ПК,41512,Управление персоналом,19-04-2021
95,33199716,Оператор ПК,41512,"Транспорт, Логистика",19-04-2021
96,33199716,Оператор ПК,41512,Административный персонал,19-04-2021
97,33199716,Оператор ПК,41512,Консультирование,19-04-2021
98,33607912,Аналитик,41512,Управление маркетингом,19-04-2021
99,33607912,Аналитик,41512,Исследования рынка,19-04-2021
100,33607912,Аналитик,41512,Управление проектами,19-04-2021
101,33607912,Аналитик,41512,Аналитик,19-04-2021
102,33893128,Менеджер по продажам оборудования,947386,Тендеры,19-04-2021
103,33893128,Менеджер по продажам оборудования,947386,Решения по автоматизации процессов,19-04-2021
104,33893128,Менеджер по продажам оборудования,947386,Оптовая торговля,19-04-2021
105,33893128,Менеджер по продажам оборудования,947386,"Станки, тяжелое оборудование",19-04-2021
106,33916123,Менеджер по продаже недвижимости,5123074,Услуги для населения,19-04-2021
107,33916123,Менеджер по продаже недвижимости,5123074,Прямые продажи,19-04-2021
108,33916123,Менеджер по продаже недвижимости,5123074,Агент,19-04-2021
109,33916123,Менеджер по продаже недвижимости,5123074,Жилье,19-04-2021
110,33916123,Менеджер по продаже недвижимости,5123074,"Начальный уровень, Мало опыта",19-04-2021
111,34139075,Инженер-проектировщик,47084,Авиационная промышленность,19-04-2021
112,34139075,Инженер-проектировщик,47084,Инженер,19-04-2021
