,vacancy,skill,prof
170,36495998,AngularJS,Инженер
171,36495998,Less,Инженер
172,36495998,Atlassian Jira,Инженер
173,36495998,Atlassian Confluence,Инженер
174,36519942,Холодные продажи,Менеджер
175,36519942,Прямые продажи,Менеджер
176,36519942,Обучение персонала,Менеджер
177,36519942,Телефонные переговоры,Менеджер
178,36519942,исходящие звонки,Менеджер
179,36519942,можно без резюме,Менеджер
180,36519942,Активные продажи,Менеджер
181,36519942,Планирование продаж,Менеджер
182,36519942,Деловая переписка,Менеджер
183,36519942,Навыки продаж,Менеджер
184,36519942,Деловое общение,Менеджер
185,36519942,Развитие продаж,Менеджер
186,36519942,Пользователь ПК,Менеджер
187,36519942,1С: Торговля,Менеджер
188,36519942,Грамотная речь,Менеджер
189,36519942,Работа в команде,Менеджер
190,36519942,Консультирование,Менеджер
191,36545085,Бизнес-анализ,Аналитик
192,36545085,UML,Аналитик
193,36545085,Управление проектами,Аналитик
194,36545085,BPMN,Аналитик
195,36545085,Руководство коллективом,Аналитик
196,36545085,Организаторские навыки,Аналитик
197,36545085,Навыки презентации,Аналитик
198,36545085,Деловая коммуникация,Аналитик
199,36545085,Разработка регламентов,Аналитик
200,36545085,Информационные технологии,Аналитик
201,36545085,Business Analysis,Аналитик
202,36545085,Аналитическое мышление,Аналитик
203,36545085,Системный подход,Аналитик
204,36545085,Ведение переговоров,Аналитик
205,36545085,Управление персоналом,Аналитик
206,36545085,Проведение презентаций,Аналитик
207,36599197,Активные продажи,Менеджер
208,36599197,Холодные продажи,Менеджер
209,36599197,Ведение переговоров,Менеджер
210,36599197,Проведение презентаций,Менеджер
211,36599197,B2B Продажи,Менеджер
212,36599207,Активные продажи,Менеджер
213,36599207,Холодные продажи,Менеджер
214,36599207,Ведение переговоров,Менеджер
215,36599207,Проведение презентаций,Менеджер
216,36599207,B2B Продажи,Менеджер
217,36599442,Активные продажи,Менеджер
218,36599442,Холодные продажи,Менеджер
219,36599442,Ведение переговоров,Менеджер
220,36599442,Проведение презентаций,Менеджер
221,36599442,B2B Продажи,Менеджер
222,36600197,Закупки,Менеджер
223,36600197,Госзаказ,Менеджер
224,36600197,B2B Продажи,Менеджер
225,36600197,B2G продажи,Менеджер
226,36600197,Продажи,Менеджер
227,36600197,Тендеры,Менеджер
228,36600197,Организация переговоров с представителями государственных органов,Менеджер
229,36600197,44ФЗ,Менеджер
230,36600197,223ФЗ,Менеджер
231,36681272,Работа в команде,Специалист
232,36681272,Работа с людьми,Специалист
233,36882872,Техническое обслуживание,Специалист
234,36882872,Настройка сетевых подключений,Специалист
235,36882872,Ведение переговоров,Специалист
236,36882872,Ремонтные работы,Специалист
237,36882872,Работа в команде,Специалист
238,36882872,Деловая переписка,Специалист
239,36882872,Деловое общение,Специалист
240,37033709,Управление проектами,Аналитик
241,37033709,Разработка технических заданий,Аналитик
242,37033709,Разработка проектной документации,Аналитик
243,37033709,Бизнес-анализ,Аналитик
244,37033709,Разработка нового продукта,Аналитик
245,37033709,Аналитическое мышление,Аналитик
246,37103331,Ruby On Rails,Программист
247,37103331,Ruby,Программист
248,37103331,MS SQL,Программист
249,37103331,Web Application Development,Программист
250,37103331,Работа с базами данных,Программист
251,37103331,ООП,Программист
252,37103331,SQL,Программист
253,37103331,MongoDB,Программист
254,37103331,REST/JSON,Программист
255,37337901,Ипотечное кредитование,Менеджер
256,37337901,Телефонные переговоры,Менеджер
257,37337901,Сопровождение клиентов,Менеджер
258,37337901,Претензионная работа,Менеджер
259,37488582,Java EE,Программист
260,37488582,Java,Программист
261,37488582,Spring Framework,Программист
262,37488582,Git,Программист
263,37488582,Java Servlets,Программист
264,37488582,SVN,Программист
265,37488582,Английский язык,Программист
266,37493028,Компас,Инженер
267,37493028,1С: Производство,Инженер
268,37493028,1С: Предприятие,Инженер
269,37493028,Компас-3D,Инженер
270,37542267,Поиск и привлечение клиентов,Менеджер
271,37542267,Холодные продажи,Менеджер
272,37542267,работа с текущей базой клиентов,Менеджер
273,37542267,1С: Торговля,Менеджер
274,37542267,Пользователь ПК,Менеджер
275,37542267,Прямые продажи,Менеджер
276,37542267,Навыки продаж,Менеджер
277,37542267,Сопровождение клиентов,Менеджер
278,37542267,Консультирование,Менеджер
279,37542267,Деловое общение,Менеджер
280,37542267,Работа с возражениями,Менеджер
281,37551967,Железнодорожные перевозки,Специалист
282,37551967,Транспортная логистика,Специалист
283,37551967,Деловая переписка,Специалист
284,37551967,Деловое общение,Специалист
285,37551967,Телефонные переговоры,Специалист
286,37551967,Работа в команде,Специалист
287,37551967,Заключение договоров,Специалист
288,37551967,Электронный документооборот,Специалист
289,37551967,ЭТРАН,Специалист
290,37551967,MS Outlook,Специалист
291,37586500,MS Outlook,Специалист
292,37586500,SAP,Специалист
293,37586500,Работа с поставщиками,Специалист
294,37586500,Закупки,Специалист
295,37586500,Закупка товаров и услуг,Специалист
296,37586500,ФЗ-223,Специалист
297,37586500,"ФЗ-44, ГК",Специалист
298,37631750,1С: Управление Торговлей,Программист
299,37631750,1С: Зарплата и управление персоналом,Программист
300,37631750,1С: Бухгалтерия,Программист
301,37641868,Контроль качества,Инженер
302,37677509,Навыки продаж,Менеджер
303,37677509,Навыки презентации,Менеджер
304,37677509,Работа в команде,Менеджер
305,37677509,CRM,Менеджер
306,37677509,Работа с возражениями,Менеджер
307,37677509,Ведение переговоров,Менеджер
308,37677509,Пользователь ПК,Менеджер
309,37677509,Заключение договоров,Менеджер
310,37677509,Грамотная речь,Менеджер
311,37698398,Adobe Photoshop,Инженер
312,37698398,Сметы,Инженер
313,37698398,Заключение договоров,Инженер
314,37698398,Пользователь ПК,Инженер
315,37698398,Прием и распределение телефонных звонков,Инженер
316,37734111,Активные продажи,Менеджер
317,37734111,Пользователь ПК,Менеджер
318,37734111,Мерчандайзинг,Менеджер
319,37734111,Работа в команде,Менеджер
320,37734111,Прямые продажи,Менеджер
321,37789843,SQL,Аналитик
322,37789843,MS SQL,Аналитик
323,37789843,Анализ данных,Аналитик
324,37789843,Работа с базами данных,Аналитик
325,37789843,Python,Аналитик
326,37789843,Git,Аналитик
327,37789843,Bitbucket,Аналитик
328,37789843,Github,Аналитик
329,37921885,Пользователь ПК,Специалист
330,37921885,Управление персоналом,Специалист
331,37921885,Деловое общение,Специалист
332,37921885,Творческое мышление,Специалист
333,37921885,Навыки составления отчетности,Специалист
334,37921885,Обучение,Специалист
335,37921885,Работа с документами,Специалист
336,37921885,Организация учебного процесса,Специалист
337,37941935,Заключение договоров,Специалист
338,37941935,Пользователь ПК,Специалист
339,37941935,Документальное сопровождение,Специалист
340,37941935,Договоры аренды,Специалист
341,37941935,Аренда объектов,Специалист
342,37973731,1С: Зарплата и управление персоналом,Специалист
343,37973731,MS PowerPoint,Специалист
344,37973731,Работа в команде,Специалист
345,37973731,Обучение и развитие,Специалист
346,37973731,MS Visio,Специалист
347,38082143,Java,Программист
348,38082143,Spring Framework,Программист
349,38082143,ООП,Программист
350,38082143,MySQL,Программист
351,38082143,PostgreSQL,Программист
352,38082143,Oracle Pl/SQL,Программист
353,38082143,Linux,Программист
354,38082143,Java SE,Программист
355,38082143,Java EE,Программист
356,38099653,B2B Продажи,Менеджер
357,38099653,Ведение переговоров,Менеджер
358,38099653,Поиск и привлечение клиентов,Менеджер
359,38099653,Развитие ключевых клиентов,Менеджер
360,38099653,Активные продажи,Менеджер
361,38099653,Лизинг,Менеджер
362,38099653,Корпоративные продажи,Менеджер
363,38111473,Кадровое делопроизводство,Специалист
364,38111473,Делопроизводство,Специалист
365,38111473,Входящая корреспонденция,Специалист
366,38129723,Информационные технологии,Технолог
367,38129723,Windows 7,Технолог
368,38129723,Грамотность,Технолог
369,38129723,Администрирование,Технолог
370,38129723,Управление временем,Технолог
371,38142828,1С: Торговля,Менеджер
372,38142828,1С: Торговля и склад,Менеджер
373,38142828,Закупки,Менеджер
374,38142828,1С: Склад,Менеджер
375,38157554,Активные продажи,Менеджер
376,38157554,Поиск и привлечение клиентов,Менеджер
377,38157554,1С: Предприятие 8,Менеджер
378,38162985,Английский язык,Аналитик
379,38162985,Atlassian Jira,Аналитик
380,38162985,Разработка технических заданий,Аналитик
381,38162985,Работа в команде,Аналитик
382,38162985,Atlassian Confluence,Аналитик
383,38174462,MS Project,Инженер
384,38174462,Строительство,Инженер
385,38174462,Работа в команде,Инженер
386,38174462,Управленческая отчетность,Инженер
387,38174462,Oracle Primavera,Инженер
388,38174462,Управление проектами,Инженер
389,38230928,Английский язык,Учитель
390,38269302,Активные продажи,Менеджер
391,38269302,Ведение клиентской базы,Менеджер
392,38269302,Прямые продажи,Менеджер
393,38269302,Поиск и привлечение клиентов,Менеджер
394,38269302,Холодные звонки,Менеджер
395,38269302,Консультирование клиентов,Менеджер
396,38269302,Закупка автомобилей,Менеджер
397,38269302,Продажа дополнительных услуг и оборудования,Менеджер
398,38269302,Ведение переговоров,Менеджер
399,38269302,Телефонные переговоры,Менеджер
400,38269302,Навыки продаж,Менеджер
401,38269302,Клиентоориентированность,Менеджер
402,38276975,Linux,Инженер
403,38276975,SQL,Инженер
404,38326059,Грамотная речь,Специалист
405,38326059,Работа в команде,Специалист
406,38326059,Клиентоориентированность,Специалист
407,38326059,Обучение и развитие,Специалист
408,38326059,Грамотность,Специалист
409,38326073,Грамотная речь,Специалист
410,38326073,Работа в команде,Специалист
411,38326073,Пользователь ПК,Специалист
412,38326073,Грамотность,Специалист
413,38330188,Грамотность,Специалист
414,38330188,Высокая скорость печати,Специалист
415,38330188,Работа с большим объемом информации,Специалист
416,38330188,Работа в команде,Специалист
417,38330227,Грамотность,Специалист
418,38330227,Высокая скорость печати,Специалист
419,38330227,Работа с большим объемом информации,Специалист
420,38330227,Работа в команде,Специалист
421,38412523,SAP PP,Аналитик
422,38412523,SAP APO,Аналитик
423,38420983,AutoCAD,Инженер
424,38420983,Пользователь ПК,Инженер
425,38420983,Проектирование,Инженер
426,38420983,Нефтегазовое оборудование,Инженер
427,38420983,Промышленная безопасность,Инженер
428,38420983,Согласования в территориальных органах надзора,Инженер
429,38420983,Взаимодействие с надзорными организациями,Инженер
430,38420983,Сопровождение строительства,Инженер
431,38420983,Гражданское строительство,Инженер
432,38436423,Консультирование клиентов,Менеджер
433,38436423,Клиентоориентированность,Менеджер
434,38436423,Грамотная речь,Менеджер
435,38436423,Продажа страховых продуктов,Менеджер
436,38436423,Пользователь ПК,Менеджер
437,38436423,Проведение презентаций,Менеджер
438,38436423,Работа с клиентами,Менеджер
439,38436423,Продажи физическим лицам,Менеджер
440,38452894,Холодные продажи,Менеджер
441,38452894,Ведение переговоров,Менеджер
442,38452894,Поиск и привлечение клиентов,Менеджер
443,38452894,Активные продажи,Менеджер
444,38452894,B2B Продажи,Менеджер
445,38485814,1С программирование,Программист
446,38485814,1С: Предприятие 8,Программист
447,38535997,1С программирование,Программист
448,38535997,ERP,Программист
449,38540920,Ремонтные работы,Электрик
450,38540920,Обучение и развитие,Электрик
451,38540920,Техническое обслуживание,Электрик
452,38540920,Ориентация на результат,Электрик
453,38545623,Objective-C,Программист
454,38545623,Android,Программист
455,38545623,Java,Программист
456,38545623,iOS,Программист
457,38545623,Git,Программист
458,38545623,Kotlin,Программист
459,38545623,Swift,Программист
460,38545623,Dart,Программист
461,38545623,Flutter,Программист
462,38545825,Objective-C,Программист
463,38545825,Android,Программист
464,38545825,iOS,Программист
465,38545825,Java,Программист
466,38545825,Git,Программист
467,38545825,Flutter,Программист
468,38545825,Dart,Программист
469,38545825,Swift,Программист
470,38545825,Kotlin,Программист
471,38552095,Objective-C,Программист
472,38552095,Android,Программист
473,38552095,iOS,Программист
474,38552095,Java,Программист
475,38552095,Git,Программист
476,38552095,Dart,Программист
477,38552095,Flutter,Программист
478,38552739,Objective-C,Программист
479,38552739,iOS,Программист
480,38552739,Java,Программист
481,38552739,Английский язык,Программист
482,38552739,ООП,Программист
483,38552751,Objective-C,Программист
484,38552751,iOS,Программист
485,38552751,Java,Программист
486,38552751,Английский язык,Программист
487,38552751,ООП,Программист
488,38554886,QA,Специалист
489,38554886,Тестирование,Специалист
490,38554886,SQL,Специалист
491,38554886,C++,Специалист
492,38554886,Test case,Специалист
493,38554886,Git,Специалист
494,38554886,QA engineer,Специалист
495,38554886,Atlassian Jira,Специалист
496,38554886,Тестирование пользовательского интерфейса,Специалист
497,38608270,1С программирование,Программист
498,38608270,1С: Управление Производственным Предприятием,Программист
499,38608270,1С: Предприятие 8,Программист
500,38608270,1С: Бухгалтерия,Программист
501,38608270,XML,Программист
502,38608270,1С: Зарплата и управление персоналом,Программист
503,38608270,1C: Управление холдингом,Программист
504,38608280,1С программирование,Программист
505,38608280,1С: Управление Производственным Предприятием,Программист
506,38608280,1С: Предприятие 8,Программист
507,38608280,1С: Бухгалтерия,Программист
508,38637233,Заключение договоров,Логист
509,38637233,Телефонные переговоры,Логист
510,38685150,SCALA,Программист
511,38767775,SQL,Программист
512,38767775,Git,Программист
513,38767775,MySQL,Программист
514,38767775,Linux,Программист
515,38767775,Pandas,Программист
516,38767775,NumPy,Программист
517,38767775,Математическая статистика,Программист
518,38767775,Python,Программист
519,38801853,Кадровое делопроизводство,Менеджер
520,38801853,Пользователь ПК,Менеджер
521,38801853,Трудовой кодекс РФ,Менеджер
522,38801853,Кадровая политика,Менеджер
523,38811250,JavaScript,Программист
524,38811250,ES6/ES7,Программист
525,38811250,TypeScript,Программист
526,38811250,Node.js,Программист
527,38811250,Angular,Программист
528,38811250,Redux,Программист
529,38811250,React,Программист
530,38821822,Нагрузочное тестирование,Инженер
531,38821822,QA,Инженер
532,38821822,Jmeter,Инженер
533,38843660,Активные продажи,Менеджер
534,38843660,Управление продажами,Менеджер
535,38843660,Холодные продажи,Менеджер
536,38843660,Ведение переговоров,Менеджер
537,38843660,Развитие продаж,Менеджер
538,38878833,Информационная безопасность,Специалист
539,38879848,Project management,
540,38879848,Human Resources Development,
541,38879848,Human Resources Management,
542,38879848,CRM,
543,38879848,Кадровый менеджмент,
544,38879848,Грейдинг,
545,38879848,Кадровая политика,
546,38879848,Подбор персонала,
547,38879848,Обучение и развитие,
548,38879848,Оценка персонала,
549,38879848,Управление командой,
550,38879848,Антикризисное управление,
551,38988043,Entity Framework,Программист
552,38988043,LINQ,Программист
553,38988043,C#,Программист
554,38988043,Design Patterns,Программист
555,38988043,.NET Framework,Программист
556,38988122,Entity Framework,Программист
557,38988122,LINQ,Программист
558,38988122,C#,Программист
559,38988122,Design Patterns,Программист
560,38988122,.NET Framework,Программист
561,38989439,LINQ,Программист
562,38989439,Entity Framework,Программист
563,38989439,C#,Программист
564,38989439,Design Patterns,Программист
565,38989439,ООП,Программист
566,38989450,LINQ,Программист
567,38989450,Entity Framework,Программист
568,38989450,C#,Программист
569,38989450,Design Patterns,Программист
570,38989450,ООП,Программист
571,39019522,Функциональное тестирование,Инженер
572,39019522,Английский язык,Инженер
573,39019522,SQL,Инженер
574,39019522,Тестирование,Инженер
575,39019522,MS SQL,Инженер
576,39021992,Активные продажи,Менеджер
577,39021992,Холодные продажи,Менеджер
578,39021992,Управление продажами,Менеджер
579,39021992,CRM,Менеджер
580,39021992,Прямые продажи,Менеджер
581,39025831,Unity,Программист
582,39025831,Git,Программист
583,39025831,C#,Программист
584,39025831,Design Patterns,Программист
585,39025831,ООП,Программист
586,39074231,Прямые продажи,Инженер
587,39074231,Пользователь ПК,Инженер
588,39074231,Ведение отчетности,Инженер
589,39099998,Клиентоориентированность,Менеджер
590,39099998,Грамотная речь,Менеджер
591,39099998,Работа в команде,Менеджер
592,39099998,Пользователь ПК,Менеджер
593,39099998,Продажа страховых продуктов,Менеджер
594,39113567,Python,Инженер
595,39113567,Cisco,Инженер
596,39113567,AutoCAD,Инженер
597,39113567,MS Visio,Инженер
598,39113567,TCP/IP,Инженер
599,39129172,Agile,Менеджер
600,39129172,Scrum,Менеджер
601,39129172,Project management,Менеджер
602,39129172,Управление проектами,Менеджер
603,39129172,Agile Project Management,Менеджер
604,39143158,Пользователь ПК,Инженер
605,39143158,Техническое обслуживание,Инженер
606,39143158,Монтаж оборудования,Инженер
607,39160039,B2C продажи,Менеджер
608,39160039,Ведение переговоров,Менеджер
609,39160039,Английский язык,Менеджер
610,39160039,Управление проектами,Менеджер
611,39160039,Деловое общение,Менеджер
612,39160039,Business English,Менеджер
613,39160039,Деловая коммуникация,Менеджер
614,39160039,Account Management,Менеджер
615,39160039,Ведение переписки,Менеджер
616,39160039,Грамотная речь,Менеджер
617,39160039,Сопровождение клиентов,Менеджер
618,39160039,Международные контакты,Менеджер
619,39160039,Навыки переговоров,Менеджер
620,39160039,Знание иностранных языков,Менеджер
621,39160039,Ведение переписки на иностранном языке,Менеджер
622,39160039,Навыки межличностного общения,Менеджер
623,39160039,Телефонные переговоры,Менеджер
624,39178082,Знание системы КОМПАС-3D приветствуется,Менеджер
625,39178082,Опыт успешных продаж приветствуется,Менеджер
626,39184944,Контроль дебиторской задолженности,Менеджер
627,39184944,Развитие ключевых клиентов,Менеджер
628,39184944,B2B Продажи,Менеджер
629,39184944,Сопровождение клиентов,Менеджер
630,39184944,Клиентоориентированность,Менеджер
631,39184944,Ведение клиентской базы,Менеджер
632,39211961,Английский язык,Учитель
633,39236282,Галактика,Специалист
634,39236282,Обучение персонала,Специалист
635,39236282,Directum,Специалист
636,39236282,Управленческая отчетность,Специалист
637,39236282,Формирование бюджета,Специалист
638,39320121,MS Excel,Специалист
639,39342261,1С программирование,Программист
640,39342261,1С: Предприятие 8,Программист
641,39342261,1С: Зарплата и управление персоналом,Программист
642,39342261,1С: Бухгалтерия,Программист
643,39342261,1С: Управление Торговлей,Программист
644,39342261,1С: Управление Производственным Предприятием,Программист
645,39342261,Управление проектами,Программист
646,39342261,Обновление конфигурации 1С,Программист
647,39342261,1C: Бухгалтерия,Программист
648,39342261,1С: Документооборот,Программист
649,39342261,Администрирование сетевого оборудования,Программист
650,39342261,1С: Комплексная автоматизация,Программист
651,39342261,1С: Торговля и склад,Программист
652,39342261,1С: Торговля,Программист
653,39342261,1С: Зарплата и кадры,Программист
654,39361316,Прием и распределение телефонных звонков,Специалист
655,39361316,Грамотная речь,Специалист
656,39361316,Деловое общение,Специалист
657,39361316,Пользователь ПК,Специалист
658,39361316,Работа в команде,Специалист
659,39382662,Сварочные работы,Сварщик
660,39393719,Пользователь ПК,Инженер
661,39393719,Организационные навыки,Инженер
662,39396649,JavaScript,Аналитик
663,39396649,CSS,Аналитик
664,39396649,HTML,Аналитик
665,39396649,jQuery,Аналитик
666,39396649,Google Analytics,Аналитик
667,39400649,Холодные продажи,Менеджер
668,39400649,Клиентоориентированность,Менеджер
669,39400649,Ведение переговоров,Менеджер
670,39400649,Проведение презентаций,Менеджер
671,39400649,Активные продажи,Менеджер
672,39402857,Холодные продажи,Менеджер
673,39402857,B2B Продажи,Менеджер
674,39402857,Активные продажи,Менеджер
675,39402857,Развитие продаж,Менеджер
676,39402857,Поиск и привлечение клиентов,Менеджер
677,39404805,AutoCAD,Инженер
678,39404805,Строительство,Инженер
679,39404805,Организация рабочих мест,Инженер
680,39404805,Капитальный ремонт,Инженер
681,39404805,MS Office,Инженер
682,39479477,C#,Инженер
683,39479477,Gatling,Инженер
684,39479477,TeamCity,Инженер
685,39479477,SQL,Инженер
686,39479477,Git,Инженер
687,39479477,Java,Инженер
688,39483786,Подбор персонала,Менеджер
689,39483786,Управление персоналом,Менеджер
690,39483786,Оценка персонала,Менеджер
691,39483786,Мотивация персонала,Менеджер
692,39483786,Работа в команде,Менеджер
693,39488727,1С программирование,Инженер
694,39492985,Прямые продажи,Менеджер
695,39492985,Телефонные переговоры,Менеджер
696,39492985,Ориентация на результат,Менеджер
697,39492985,Продажи через дистрибьюторов,Менеджер
698,39492985,Региональные сети,Менеджер
699,39492985,Навыки переговоров,Менеджер
700,39492985,Мобильность,Менеджер
701,39492985,Ведение переговоров,Менеджер
