,vacancy,skill
236,37921885,Управление персоналом
237,37921885,Деловое общение
238,37921885,Творческое мышление
239,37921885,Навыки составления отчетности
240,37921885,Обучение
241,37921885,Работа с документами
242,37921885,Организация учебного процесса
243,37941935,Заключение договоров
244,37941935,Пользователь ПК
245,37941935,Документальное сопровождение
246,37941935,Договоры аренды
247,37941935,Аренда объектов
248,37973731,1С: Зарплата и управление персоналом
249,37973731,MS PowerPoint
250,37973731,Работа в команде
251,37973731,Обучение и развитие
252,37973731,MS Visio
253,38082143,Java
254,38082143,Spring Framework
255,38082143,ООП
256,38082143,MySQL
257,38082143,PostgreSQL
258,38082143,Oracle Pl/SQL
259,38082143,Linux
260,38082143,Java SE
261,38082143,Java EE
262,38111473,Кадровое делопроизводство
263,38111473,Делопроизводство
264,38111473,Входящая корреспонденция
265,38129723,Информационные технологии
266,38129723,Windows 7
267,38129723,Грамотность
268,38129723,Администрирование
269,38129723,Управление временем
270,38162985,Английский язык
271,38162985,Atlassian Jira
272,38162985,Разработка технических заданий
273,38162985,Работа в команде
274,38162985,Atlassian Confluence
275,38174462,MS Project
276,38174462,Строительство
277,38174462,Работа в команде
278,38174462,Управленческая отчетность
279,38174462,Oracle Primavera
280,38174462,Управление проектами
281,38230928,Английский язык
282,38232423,Грамотная речь
283,38232423,1С: Документооборот
284,38232423,Грамотность
285,38232423,Поиск информации в интернет
286,38232423,Навыки межличностного общения
287,38239578,MS PowerPoint
288,38239578,Бизнес-анализ
289,38239578,Статистический анализ
290,38239578,MS Excel
291,38239578,Аналитический склад ума
292,38276975,Linux
293,38276975,SQL
294,38326059,Грамотная речь
295,38326059,Работа в команде
296,38326059,Клиентоориентированность
297,38326059,Обучение и развитие
298,38326059,Грамотность
299,38326073,Грамотная речь
300,38326073,Работа в команде
301,38326073,Пользователь ПК
302,38326073,Грамотность
303,38330188,Грамотность
304,38330188,Высокая скорость печати
305,38330188,Работа с большим объемом информации
306,38330188,Работа в команде
307,38330227,Грамотность
308,38330227,Высокая скорость печати
309,38330227,Работа с большим объемом информации
310,38330227,Работа в команде
311,38368435,Управленческий учет
312,38368435,PostgreSQL
313,38368435,1С программирование
314,38368435,1С: Предприятие 8
315,38368435,MS SQL
316,38412523,SAP PP
317,38412523,SAP APO
318,38417529,AutoCAD
319,38417529,Гражданское строительство
320,38417529,Проектирование зданий и сооружений
321,38417529,Проектирование
322,38417529,Проектно-конструкторская деятельность
323,38417529,Проектная документация
324,38417529,Чтение чертежей
325,38420983,AutoCAD
326,38420983,Пользователь ПК
327,38420983,Проектирование
328,38420983,Нефтегазовое оборудование
329,38420983,Промышленная безопасность
330,38420983,Согласования в территориальных органах надзора
331,38420983,Взаимодействие с надзорными организациями
332,38420983,Сопровождение строительства
333,38420983,Гражданское строительство
334,38460118,MS Access
335,38460118,Turbo Pascal
336,38460118,MATLAB
337,38460118,Mathcad
338,38460118,Pascal
339,38485814,1С программирование
340,38485814,1С: Предприятие 8
341,38505841,Государственные закупки
342,38505841,Пользователь ПК
343,38505841,Закупка товаров и услуг
344,38505841,Работа с поставщиками
345,38505841,Грамотность
346,38535997,1С программирование
347,38535997,ERP
348,38540920,Ремонтные работы
349,38540920,Обучение и развитие
350,38540920,Техническое обслуживание
351,38540920,Ориентация на результат
352,38545623,Objective-C
353,38545623,Android
354,38545623,Java
355,38545623,iOS
356,38545623,Git
357,38545623,Kotlin
358,38545623,Swift
359,38545623,Dart
360,38545623,Flutter
361,38545825,Objective-C
362,38545825,Android
363,38545825,iOS
364,38545825,Java
365,38545825,Git
366,38545825,Flutter
367,38545825,Dart
368,38545825,Swift
369,38545825,Kotlin
370,38552095,Objective-C
371,38552095,Android
372,38552095,iOS
373,38552095,Java
374,38552095,Git
375,38552095,Dart
376,38552095,Flutter
377,38552739,Objective-C
378,38552739,iOS
379,38552739,Java
380,38552739,Английский язык
381,38552739,ООП
382,38552751,Objective-C
383,38552751,iOS
384,38552751,Java
385,38552751,Английский язык
386,38552751,ООП
387,38554886,QA
388,38554886,Тестирование
389,38554886,SQL
390,38554886,C++
391,38554886,Test case
392,38554886,Git
393,38554886,QA engineer
394,38554886,Atlassian Jira
395,38554886,Тестирование пользовательского интерфейса
396,38608270,1С программирование
397,38608270,1С: Управление Производственным Предприятием
398,38608270,1С: Предприятие 8
399,38608270,1С: Бухгалтерия
400,38608270,XML
401,38608270,1С: Зарплата и управление персоналом
402,38608270,1C: Управление холдингом
403,38608280,1С программирование
404,38608280,1С: Управление Производственным Предприятием
405,38608280,1С: Предприятие 8
406,38608280,1С: Бухгалтерия
407,38609826,Управленческий учет
408,38609826,PostgreSQL
409,38609826,1С программирование
410,38609826,1С: Предприятие 8
411,38609826,MS SQL
412,38685150,SCALA
413,38767775,SQL
414,38767775,Git
415,38767775,MySQL
416,38767775,Linux
417,38767775,Pandas
418,38767775,NumPy
419,38767775,Математическая статистика
420,38767775,Python
421,38801853,Кадровое делопроизводство
422,38801853,Пользователь ПК
423,38801853,Трудовой кодекс РФ
424,38801853,Кадровая политика
425,38811250,JavaScript
426,38811250,ES6/ES7
427,38811250,TypeScript
428,38811250,Node.js
429,38811250,Angular
430,38811250,Redux
431,38811250,React
432,38821822,Нагрузочное тестирование
433,38821822,QA
434,38821822,Jmeter
435,38878833,Информационная безопасность
436,38922376,1С: Розница
437,38922376,1С: Бухгалтерия
438,38922376,1С: Предприятие 8
439,38922376,1С программирование
440,38922376,Разработка технических заданий
441,38922376,1С: Управление Торговлей
442,38922376,Автоматизация
443,38922376,Розничная торговля
444,38922856,1С: Розница
445,38922856,1С: Бухгалтерия
446,38922856,1С: Предприятие 8
447,38922856,1С программирование
448,38922856,Разработка технических заданий
449,38922856,1С: Управление Торговлей
450,38922856,Автоматизация
451,38922856,Розничная торговля
452,38988043,Entity Framework
453,38988043,LINQ
454,38988043,C#
455,38988043,Design Patterns
456,38988043,.NET Framework
457,38988122,Entity Framework
458,38988122,LINQ
459,38988122,C#
460,38988122,Design Patterns
461,38988122,.NET Framework
462,38989439,LINQ
463,38989439,Entity Framework
464,38989439,C#
465,38989439,Design Patterns
466,38989439,ООП
467,38989450,LINQ
468,38989450,Entity Framework
469,38989450,C#
470,38989450,Design Patterns
471,38989450,ООП
472,39019522,Функциональное тестирование
473,39019522,Английский язык
474,39019522,SQL
475,39019522,Тестирование
476,39019522,MS SQL
477,39025831,Unity
478,39025831,Git
479,39025831,C#
480,39025831,Design Patterns
481,39025831,ООП
482,39072825,Информационная безопасность
483,39072825,TCP/IP
484,39072825,Технические средства информационной защиты
485,39072825,Mac Os
486,39072825,СУБД
487,39074231,Прямые продажи
488,39074231,Пользователь ПК
489,39074231,Ведение отчетности
490,39095452,Пользователь ПК
491,39113567,Python
492,39113567,Cisco
493,39113567,AutoCAD
494,39113567,MS Visio
495,39113567,TCP/IP
496,39143158,Пользователь ПК
497,39143158,Техническое обслуживание
498,39143158,Монтаж оборудования
499,39211961,Английский язык
500,39230173,Знание системы КОМПАС-3D приветствуется
501,39230173,Опыт успешных продаж приветствуется
502,39230173,Поиск и привлечение клиентов
503,39236282,Галактика
504,39236282,Обучение персонала
505,39236282,Directum
506,39236282,Управленческая отчетность
507,39236282,Формирование бюджета
508,39320121,MS Excel
509,39342261,1С программирование
510,39342261,1С: Предприятие 8
511,39342261,1С: Зарплата и управление персоналом
512,39342261,1С: Бухгалтерия
513,39342261,1С: Управление Торговлей
514,39342261,1С: Управление Производственным Предприятием
515,39342261,Управление проектами
516,39342261,Обновление конфигурации 1С
517,39342261,1C: Бухгалтерия
518,39342261,1С: Документооборот
519,39342261,Администрирование сетевого оборудования
520,39342261,1С: Комплексная автоматизация
521,39342261,1С: Торговля и склад
522,39342261,1С: Торговля
523,39342261,1С: Зарплата и кадры
524,39361316,Прием и распределение телефонных звонков
525,39361316,Грамотная речь
526,39361316,Деловое общение
527,39361316,Пользователь ПК
528,39361316,Работа в команде
529,39382662,Сварочные работы
530,39393719,Пользователь ПК
531,39393719,Организационные навыки
532,39396649,JavaScript
533,39396649,CSS
534,39396649,HTML
535,39396649,jQuery
536,39396649,Google Analytics
537,39404805,AutoCAD
538,39404805,Строительство
539,39404805,Организация рабочих мест
540,39404805,Капитальный ремонт
541,39404805,MS Office
542,39479477,C#
