,vacancy,skill
0,25786571,руководство командой разработчиков
1,25786571,Разработка технических заданий
2,25786571,Управление разработкой
3,25786571,Разработка ПО
4,28840586,Java
5,28840586,Java SE
6,28840586,Java EE
7,28840586,SQL
8,28840586,Spring Framework
9,28840586,Hibernate ORM
10,28840586,HTML
11,28840586,CSS
12,28840586,jQuery
13,28840586,Bootstrap
14,28840586,Vue
15,28840586,AngularJS
16,31017795,Java
17,31017795,Java SE
18,31017795,Java EE
19,31017795,Spring Framework
20,31017795,Hibernate ORM
21,31017795,SQL
22,31017795,ООП
23,31263045,1С программирование
24,31571439,Java
25,31571439,Spring Framework
26,31571439,SQL
27,31571439,Java Enterprise
28,34139075,Разработка проектной документации
29,34139075,AutoCAD
30,34139075,Компас-3D
31,34139075,Проектная документация
32,34139075,Проектирование
33,34139075,Обучение и развитие
34,34139075,Корпоративная культура
35,34139075,Корпоративная этика
36,34139075,Планирование карьеры
37,34827080,HTML5
38,34827080,CSS3
39,34827080,JavaScript
40,34827080,Vue.js
41,34827080,Ajax
42,34827080,Webscoket
43,34827080,SCSS
44,34827080,Less
45,34827080,Кроссбраузерная верстка
46,34827080,Webpack
47,34827080,OpenLayers
48,34827080,Leaflet
49,34827080,Bootstrap
50,35502432,Информационная безопасность
51,35502432,Unix
52,35502432,Windows Os
53,35502432,SIEM
54,35556776,React
55,35556776,React Native
56,35556776,Node.js
57,35556776,Typescript
58,35980548,Работа в команде
59,35980548,Корпоративная этика
60,35980548,Ориентация на результат
61,35980548,Организаторские навыки
62,35980612,Работа в команде
63,35980612,Обучение и развитие
64,35980612,Ориентация на результат
65,35980612,Организаторские навыки
66,35980612,Техническое обслуживание
67,36093250,Работа в команде
68,36093250,Корпоративная этика
69,36093250,Организаторские навыки
70,36093250,Ориентация на результат
71,36093250,Техническое обслуживание
72,36104684,MS Outlook
73,36104684,1С: Склад
74,36104684,Обучение и развитие
75,36104684,Кадровая политика
76,36444843,Проектная документация
77,36444843,Документооборот
78,36444843,Электронный документооборот
79,36444843,Грамотность
80,36444843,Ориентация на результат
81,36444843,Работа с документами
82,36444843,MS Word
83,36444843,Чтение чертежей
84,36451294,1С: Зарплата и управление персоналом
85,36451294,1С: Склад
86,36451294,1С: Бухгалтерия
87,36451294,1С программирование
88,36451294,1C: Бухгалтерия
89,36495998,JavaScript
90,36495998,CSS3
91,36495998,Git
92,36495998,HTML5
93,36495998,AngularJS
94,36495998,Less
95,36495998,Atlassian Jira
96,36495998,Atlassian Confluence
97,36545085,Бизнес-анализ
98,36545085,UML
99,36545085,Управление проектами
100,36545085,BPMN
101,36545085,Руководство коллективом
102,36545085,Организаторские навыки
103,36545085,Навыки презентации
104,36545085,Деловая коммуникация
105,36545085,Разработка регламентов
106,36545085,Информационные технологии
107,36545085,Business Analysis
108,36545085,Аналитическое мышление
109,36545085,Системный подход
110,36545085,Ведение переговоров
111,36545085,Управление персоналом
112,36545085,Проведение презентаций
113,37033709,Управление проектами
114,37033709,Разработка технических заданий
115,37033709,Разработка проектной документации
116,37033709,Бизнес-анализ
117,37033709,Разработка нового продукта
118,37033709,Аналитическое мышление
119,37067559,Инженерные системы
120,37067559,Системы видеонаблюдения
121,37067559,Работа с локальными сетями
122,37067564,Пользователь ПК
123,37067564,Умение работать в коллективе
124,37067564,Управление проектами
125,37067564,Управление качеством
126,37067564,Документальное сопровождение
127,37103331,Ruby On Rails
128,37103331,Ruby
129,37103331,MS SQL
130,37103331,Web Application Development
131,37103331,Работа с базами данных
132,37103331,ООП
133,37103331,SQL
134,37103331,MongoDB
135,37103331,REST/JSON
136,37488582,Java EE
137,37488582,Java
138,37488582,Spring Framework
139,37488582,Git
140,37488582,Java Servlets
141,37488582,SVN
142,37488582,Английский язык
143,37493028,Компас
144,37493028,1С: Производство
145,37493028,1С: Предприятие
146,37493028,Компас-3D
147,37631750,1С: Управление Торговлей
148,37631750,1С: Зарплата и управление персоналом
149,37631750,1С: Бухгалтерия
150,37641868,Контроль качества
151,37662359,Грамотная речь
152,37662359,Копирайтинг
153,37662359,Перевод
154,37662359,Написание текстов
155,37662359,Работа в команде
156,37662359,Английский язык
157,37662359,Анализ рынка
158,37662359,Локализация продукта
159,37662359,AppStore
160,37662359,Google Play
161,37689481,Сварочные работы
162,37698398,Adobe Photoshop
163,37698398,Сметы
164,37698398,Заключение договоров
165,37698398,Пользователь ПК
166,37698398,Прием и распределение телефонных звонков
167,37789843,SQL
168,37789843,MS SQL
169,37789843,Анализ данных
170,37789843,Работа с базами данных
171,37789843,Python
172,37789843,Git
173,37789843,Bitbucket
174,37789843,Github
175,38082143,Java
176,38082143,Spring Framework
177,38082143,ООП
178,38082143,MySQL
179,38082143,PostgreSQL
180,38082143,Oracle Pl/SQL
181,38082143,Linux
182,38082143,Java SE
183,38082143,Java EE
184,38162985,Английский язык
185,38162985,Atlassian Jira
186,38162985,Разработка технических заданий
187,38162985,Работа в команде
188,38162985,Atlassian Confluence
189,38174462,MS Project
190,38174462,Строительство
191,38174462,Работа в команде
192,38174462,Управленческая отчетность
193,38174462,Oracle Primavera
194,38174462,Управление проектами
195,38230928,Английский язык
196,38239578,MS PowerPoint
197,38239578,Бизнес-анализ
198,38239578,Статистический анализ
199,38239578,MS Excel
200,38239578,Аналитический склад ума
201,38276975,Linux
202,38276975,SQL
203,38368435,Управленческий учет
204,38368435,PostgreSQL
205,38368435,1С программирование
206,38368435,1С: Предприятие 8
207,38368435,MS SQL
208,38412523,SAP PP
209,38412523,SAP APO
210,38417529,AutoCAD
211,38417529,Гражданское строительство
212,38417529,Проектирование зданий и сооружений
213,38417529,Проектирование
214,38417529,Проектно-конструкторская деятельность
215,38417529,Проектная документация
216,38417529,Чтение чертежей
217,38420983,AutoCAD
218,38420983,Пользователь ПК
219,38420983,Проектирование
220,38420983,Нефтегазовое оборудование
221,38420983,Промышленная безопасность
222,38420983,Согласования в территориальных органах надзора
223,38420983,Взаимодействие с надзорными организациями
224,38420983,Сопровождение строительства
225,38420983,Гражданское строительство
226,38460118,MS Access
227,38460118,Turbo Pascal
228,38460118,MATLAB
229,38460118,Mathcad
230,38460118,Pascal
231,38485814,1С программирование
232,38485814,1С: Предприятие 8
233,38505841,Государственные закупки
234,38505841,Пользователь ПК
235,38505841,Закупка товаров и услуг
236,38505841,Работа с поставщиками
237,38505841,Грамотность
238,38535997,1С программирование
239,38535997,ERP
240,38540920,Ремонтные работы
241,38540920,Обучение и развитие
242,38540920,Техническое обслуживание
243,38540920,Ориентация на результат
244,38545623,Objective-C
245,38545623,Android
246,38545623,Java
247,38545623,iOS
248,38545623,Git
249,38545623,Kotlin
250,38545623,Swift
251,38545623,Dart
252,38545623,Flutter
253,38545825,Objective-C
254,38545825,Android
255,38545825,iOS
256,38545825,Java
257,38545825,Git
258,38545825,Flutter
259,38545825,Dart
260,38545825,Swift
261,38545825,Kotlin
262,38552095,Objective-C
263,38552095,Android
264,38552095,iOS
265,38552095,Java
266,38552095,Git
267,38552095,Dart
268,38552095,Flutter
269,38552739,Objective-C
270,38552739,iOS
271,38552739,Java
272,38552739,Английский язык
273,38552739,ООП
274,38552751,Objective-C
275,38552751,iOS
276,38552751,Java
277,38552751,Английский язык
278,38552751,ООП
279,38554886,QA
280,38554886,Тестирование
281,38554886,SQL
282,38554886,C++
283,38554886,Test case
284,38554886,Git
285,38554886,QA engineer
286,38554886,Atlassian Jira
287,38554886,Тестирование пользовательского интерфейса
288,38608270,1С программирование
289,38608270,1С: Управление Производственным Предприятием
290,38608270,1С: Предприятие 8
291,38608270,1С: Бухгалтерия
292,38608270,XML
293,38608270,1С: Зарплата и управление персоналом
294,38608270,1C: Управление холдингом
295,38608280,1С программирование
296,38608280,1С: Управление Производственным Предприятием
297,38608280,1С: Предприятие 8
298,38608280,1С: Бухгалтерия
299,38609826,Управленческий учет
300,38609826,PostgreSQL
301,38609826,1С программирование
302,38609826,1С: Предприятие 8
303,38609826,MS SQL
304,38685150,SCALA
305,38767775,SQL
306,38767775,Git
307,38767775,MySQL
308,38767775,Linux
309,38767775,Pandas
310,38767775,NumPy
311,38767775,Математическая статистика
312,38767775,Python
313,38801853,Кадровое делопроизводство
314,38801853,Пользователь ПК
315,38801853,Трудовой кодекс РФ
316,38801853,Кадровая политика
317,38811250,JavaScript
318,38811250,ES6/ES7
319,38811250,TypeScript
320,38811250,Node.js
321,38811250,Angular
322,38811250,Redux
323,38811250,React
324,38821822,Нагрузочное тестирование
325,38821822,QA
326,38821822,Jmeter
327,38988043,Entity Framework
328,38988043,LINQ
329,38988043,C#
330,38988043,Design Patterns
331,38988043,.NET Framework
332,38988122,Entity Framework
333,38988122,LINQ
334,38988122,C#
335,38988122,Design Patterns
336,38988122,.NET Framework
337,38989439,LINQ
338,38989439,Entity Framework
339,38989439,C#
340,38989439,Design Patterns
341,38989439,ООП
342,38989450,LINQ
343,38989450,Entity Framework
344,38989450,C#
345,38989450,Design Patterns
346,38989450,ООП
347,39019522,Функциональное тестирование
348,39019522,Английский язык
349,39019522,SQL
350,39019522,Тестирование
351,39019522,MS SQL
352,39025831,Unity
353,39025831,Git
354,39025831,C#
355,39025831,Design Patterns
356,39025831,ООП
357,39072825,Информационная безопасность
358,39072825,TCP/IP
359,39072825,Технические средства информационной защиты
360,39072825,Mac Os
361,39072825,СУБД
362,39074231,Прямые продажи
